name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,x-website rating,x-status_last_modified,id
Whatcom County Library System,WCLS,Vetted,WCLS re-vet,Whatcom County,(360) 305-3600,http://www.wcls.org,"Library system for Whatcom County with branches in Blaine, Deming, Everson, Ferndale, Lummi Island, Lynden, Maple Falls, Point Roberts, South Whatcom, and Sumas. ","WCLS WiFi and Laptops,WCLS Printing Services,WCLS Meeting Spaces,WCLS Learning Resources,WCLS Community Resources,WCLS Events Calendar,WCLS Library Cards",,"Blaine Library,Deming Library,Everson Library,Ferndale Library,Island Library,Lynden Library,North Fork Library,Northwest Drive Library Express,Point Roberts Library,South Whatcom Library,Sumas Library",5,2022-7-14 12:12pm,rec994MkJgmx9DC87
Whatcom County Pregnancy Clinic,,Vetted,Whatcom County Pregnancy Clinic,Whatcom County,(360) 671-9057,http://www.whatcomclinic.com/,"Faith-based organization dedicated to educating, equipping, and empowering individuals and families facing an unplanned pregnancy. All services are free. (Does not provide abortion services)","Whatcom County Pregnancy Clinic,Earn While You Learn",,Whatcom County Pregnancy Clinic,5,2022-11-17 5:18pm,recszhfVQHX66ugog
Whatcom Dispute Resolution Center,,Vetted,"WDRC,WDRC re-vet",Whatcom County,(360) 676-0122,https://www.whatcomdrc.org/,"Offers conflict prevention and intervention services for businesses, organizations, individuals, and families. ","Supervised Visitation Program,Youth and Peer Mediation,Youth Restorative Practices Program,Youth Conflict Resolution Education,Safe Spaces Program,WDRC Facilitation Services,Elder Care and Other Family Mediation,Parent/Teen Mediation,""Separation, Divorce, and Parenting Plan Mediation"",WDRC Mediation Services,Landlord-Tenant Mediation,Stable Home Mediation Program (Foreclosure Mediation),Small Claims Mediation,WDRC Trainings",wdrc@whatcomdrc.org,Whatcom Dispute Resolution Center,5,2022-9-27 3:24pm,recZtYk76139VB83U
Whatcom Family and Community Network,WFCN,Vetted,"WFCN,WFCN re-vet",Whatcom County,(360) 738-1196,https://wfcn.org,"Promotes the well-being of children, youth, and families by convening and supporting communities to build their capacity. WFCN networks for collective action on issues that matter; to develop community capacity through prevention strategies, such as leadership and skill development and increasing healthy activities to reduce substance abuse and other harmful behavior.",MAD HOPE,info@wfcn.org,Roosevelt Neighborhood Resource Center,5,2022-9-27 3:07pm,recvl3stV8ZXU9fJq
Whatcom Human Rights Task Force,,Vetted,Whatcom Human Rights Task Force,Whatcom County,‪(360)389-3898‬,http://www.whrtf.org/,"Works to ensure an individual’s right to be treated with dignity and to live without fear of violence, intimidation, or discrimination based on group identification or personal characteristics. Such groups include, but are not limited to: race, ethnicity, gender, national origin, sexual orientation (gender expression/identity), religion, age, class, disability, veteran/military status or political opinion.

",Whatcom Human Rights Task Force,whatcomhrtf@gmail.com,Whatcom Human Rights Taskforce,5,2022-11-21 2:17pm,recVxdUqjpqUeVHTG
Whatcom Humane Society ,,Vetted,Whatcom Humane Society,Whatcom County,(360) 733-2080,https://www.whatcomhumane.org,"An open-admission animal shelter providing care and services to domestic, farm and wild animals in Whatcom County","Animal Control and Rescue Services - WHS,Pet Licensing - WHS,Low-Cost Microchip - WHS,Surrender an Animal - WHS,Pet Adoption - WHS,Spay Neuter Assistance Program (SNAP) - WHS,Volunteer Programs - WHS,Humane Education - WHS,WHS Thrift Shop",,Whatcom Humane Society,5,2022-11-21 4:19pm,reckgeDriYwRDRBkn
Whatcom Kid Insider,,Vetted,"Kid Insider,Kid Insider re-vet",Whatcom County,,https://whatcom.kidinsider.com,Online directory of family-friendly things to do with kids in Whatcom County. ,Whatcom Kid Insider,,,5,2022-10-12 1:27pm,reckbLdlN4GmJh0wl
Whatcom Literacy Council,,Vetted,Whatcom Literacy Council,Whatcom County,(360) 752-8678,http://www.whatcomliteracy.org/,"Helps adults in Whatcom County improve their literacy skills and learn English through customized, individual tutoring and focused small group classes.","Adult Literacy Program - WLC,English Language Learner Program - WLC,Small Group Classes - WLC",info@whatcomliteracy.org,Whatcom Literacy Council Main Office,5,2022-11-22 1:30pm,recoSEftnQOIXg4do
Whatcom Long Term Recovery Group,LTRG,Vetted,Whatcom LTRG,Whatcom County,(360) 778-5303,https://www.whatcomstrong.com,"Provides coordination and recovery services to individuals, families and entities adversely impacted by disaster in Whatcom County",Whatcom Long Term Recovery Group, WhatcomLTRG@gmail.com,,4,2022-11-17 5:25pm,recZV2xq479HEXVC5
Whatcom Mental Health Newsletter,,Vetted,"Whatcom Mental Health Newsletter,Whatcom MH Newsletter re-vet",Whatcom County,,http://www.whatcommentalhealth.org,Relevant local mental health related information gathered from the community and shared through a periodic electronic newsletter.,Whatcom Mental Health Newsletter,mail@WhatcomMentalHealth.org,,4,2022-9-21 5:40pm,recmMFpGsEE81a44K
Whatcom Perinatal Mental Health Taskforce,,Vetted,Whatcom Perinatal Mental Health Task Force,Whatcom County,,https://whatcomperinatal.org/,"Nonprofit organization that connects with parents, caregivers, and professionals to raise community awareness about becoming a new parent, what perinatal mood and anxiety disorders (PMADs) are, and connect parents with resources, healthcare providers, and peer support groups. ","Círculo de Alianza Latina para la Maternidad Acompañada,Come As You Are Support Group,Village Circle",info@whatcomperinatal.org,,4,2023-2-15 3:39pm,recDhBN6qb13RXRWE
Whatcom Transportation Authority,WTA,Vetted,WTA,Whatcom County,(360) 676-7433,http://www.ridewta.com/,"Provides public transportation services throughout Whatcom County. Services include Fixed Routes, Paratransit, Zone Service​ and a Vanpool program.​ ​","WTA Fixed Route,Paratransit,WTA Zone Service,Vanpool,Lynden Hop", customerservice@ridewta.com​,,5,2022-11-22 2:31pm,recaNfFwzhorwerGZ
Whatcom-Skagit Housing,,Vetted,Whatcom-Skagit Housing,Whatcom County,"(360) 398-0223,(888) 360-0223",http://www.whatcomskagithousing.com,Provides assistance to help low-income households build their own homes. ,Whatcom-Skagit Housing,,Whatcom-Skagit Housing,4,2022-11-22 1:48pm,recdJ2xs9gJj0yBCd
Wild Whatcom,,Vetted,Wild Whatcom,Whatcom County,(360) 389-3414,https://www.wildwhatcom.org/,Wild Whatcom fosters connections to nature to promote the health and well-being of young people in our community and to support our community in raising a generation of environmental stewards who care about each other and the planet.,"Wild Whatcom Community Field Trips,Wild Whatcom Ladies Night Out,Wonder Walks,Wild Things,Wild Whatcom Summer Camps,Wild Whatcom Nature Preschool,Neighborhood Nature,Explorers Club",info@wildwhatcom.org,Wild Whatcom,5,2023-1-10 9:25am,recdewnt9uVaZRJ3g
William Matthews VFW Post 1585,Veterans of Foreign Wars,Vetted,VFW Post 1585,Whatcom County,(360) 734-5520,https://vfwpost1585.wordpress.com,"Supports programs to increase awareness of the sacrifices of America’s veterans; promote citizenship education, volunteerism and positive youth programs; and facilitate medical, rehabilitative, educational and employment services and needs for veterans and their families.",William Matthews VFW Post 1585,,VFW Post 1585,5,2022-11-17 5:00pm,recwPly6FfbEW7Q64
WorkSource Whatcom,,Vetted,"WorkSource Whatcom,WorkSource re-vet",Whatcom County,(360) 676-1521,http://www.worksourcewa.com/,"A statewide partnership of state, local and nonprofit agencies that provides an array of employment and training services to job seekers and employers in Washington.
",WorkSource Whatcom,info@nwc-connect.org ,WorkSource Whatcom,4,2022-10-19 11:33am,recoSpCIxJjVnai1Y
YWCA Bellingham,,Vetted,"YWCA,YWCA re-vet",Whatcom County,(360) 734-4820,http://www.ywcabellingham.org/,"Part of a national network of programs with the shared mission of ending racism, empowering women, and promoting peace, justice, and freedom for all. Offers low-cost and free housing to women in crisis.","YWCA Housing Programs,Y's Buys Thrift Boutique", info@YWCAbellingham.org ,YWCA Bellingham,5,2022-10-13 12:16pm,recgi7Q5HWNjV0Fbs
IRIS,Immigrant Resources and Immediate Support,Vetting In Progress,,Whatcom County,,https://irisnw.org,"Responds to the urgent and unmet needs of immigrants in our communities in Whatcom, Skagit and Snohomish counties in an inclusive and comprehensive manner. IRIS connects immigrants with needed resources, and provides funding for items and services that are not accessible to this marginalized population.",IRIS,info@irisnw.org,IRIS,,2023-4-27 9:16am,rec9HNmw9uVkPipWq
American Red Cross Northwest Region,Red Cross,Vetted,"Red Cross,Red Cross re-vet",Washington State,(425) 252-4103,https://www.redcross.org/local/washington.html,"Brings together local volunteers to care for their neighbors, trains hundreds of thousands of people each year in life-saving skills, and responds to local disasters.",Red Cross Disaster Relief and Recovery,,American Red Cross Northwest Region,5,2022-10-13 12:56pm,rec7mTv2QIygynwyU
Apple Health,Medicaid,Vetted,"Apple Health,Apple Health re-vet",Washington State,1-800-562-3022,https://www.hca.wa.gov,"Free or low-cost health insurance. Coverage includes primary care, emergency visits, maternity services, pediatric care, dental services, vision care, prescription medications and more. ","Apple Health,Apple Health Diaper Program,Community First Choice Personal Care",,,5,2022-9-29 1:32pm,recXIbRfoGvNJq1xi
Attorney General of Washington,,Vetted,Attorney General of Washington,Washington State,(360) 676-2037,http://www.atg.wa.gov/,"Provides consumer protection for identity theft and scams, education, labor and industries, licensing, social and health services.",Attorney General of Washington,,Attorney General of Washington Bellingham Office,4,2022-11-23 12:18pm,recXCjgc0sHd3UF6J
Child Care Aware of Washington,,Vetted,"Child Care Aware,CCA re-vet",Washington State,1-800-446-1114,https://childcareawarewa.org/families/,A nonprofit organization dedicated to ensuring that every child in Washington has access to high-quality child care and early learning programs by providing statewide child care resource and referral. ,"Help Find Child Care,Child Care for Families Experiencing Homelessness,Help Pay for Child Care",familycenter@childcare.org,,5,2022-9-20 10:12am,recO9Gbrdy0IJ9NSv
Crisis Connections,,Vetted,"Crisis Connections,Crisis Connections re-vet",Washington State,(866) 427-4747,https://www.crisisconnections.org/,"One of the oldest Crisis Lines in the nation, and home to programs focused on serving the emotional and physical needs of individuals across Washington State. ","Washington Survivors of Suicide Support Group,Washington Survivors of Suicide Companion Mentor,Washington Survivors of Suicide Care Package,Washington Recovery Help Line,Washington Warm Line,Teen Link",,,5,2022-10-6 2:30pm,recpo7njRvkhj9w4l
"DCYF (Washington State Department of Children, Youth, and Families)",CPS,Vetted,"DCYF,DCYF re-vet",Washington State,,https://www.dcyf.wa.gov,"The lead agency for state-funded services that support children and families to build resilience and health, and to improve educational outcomes. ","Child Protective Services,Child Abuse Hotline,Foster Parenting and Kinship Care,Foster Parent and Caregiver Support line,Adoption Support Program,Child Care Check",,,5,2022-3-31 10:32am,rec1OvXuzV7MUMLLW
Dementia Support Northwest,,Vetted,Dementia Support NW,Washington State,(360) 671-3316,http://www.alzsociety.org,"Supports people with dementia and their caregivers, families and friends, through education and by working with community partners to expand resources.","Dementia Support NW Support Services,""Dementia Support NW Training, Education, and Outreach"",Project Lifesaver",alz@alzsociety.org,Alzheimer Society of Washington Support Center,5,2022-11-23 11:43am,recFLU1bFpOUB7KvB
Disability Rights Washington  ,,Vetted,Disability Rights WA,Washington State,"1-800-562-2702,(206) 324-1521",http://www.disabilityrightswa.org/,A private non-profit organization that protects the rights of people with disabilities statewide. ,"Amplifying Voices of Incarcerated Individuals with Disabilities (AVID),Community Inclusion and Services Program,Disability Mobility Initiative,Office of the Developmental Disabilities Ombuds (DD Ombuds),Cross Disability Advocacy Network (CDAN),Rights Investigation and Accountability,Rooted in Rights,Treatment Facilities Program",,Disability Rights Washington,5,2022-12-1 6:15pm,recQmsrbLeS5skjVf
DSHS (Washington State Department of Social and Health Services),,Vetted,"DSHS,DSHS re-vet",Washington State,(877) 501-2233,https://www.dshs.wa.gov,Washington's social services department.,"Basic Food (SNAP),Housing and Essential Needs (HEN),""Aged, Blind, or Disabled Program (ABD)"",Temporary Assistance for Needy Families (TANF),Pregnant Woman Assistance Program,Refugee Cash Assistance,Office of Refugee and Immigrant Assistance,Division of Child Support,Division of Vocational Rehabilitation (DVR),Aging and Long-Term Support Administration,Developmental Disabilities Administration,Adult Protective Services",,Bellingham Community Services Office (DSHS),5,2022-3-31 10:32am,recxqCDwE9x2pRI4q
"Hearing, Speech and Deaf Center (HSDC)",HSDC,Vetted,HSDC,Washington State,"(360) 647-0910,(360) 255-7166 - Videophone",http://www.hsdc.org/,A comprehensive array of programs that foster effective communication for individuals and families affected by hearing or speech differences. ,"HSDC Interpreting Services,HSDC Deaf and Hard of Hearing Services,Deaf 101,HSDC Clinic",bellingham@hsdc.org,"""Hearing, Speech and Deaf Center - North Sound""",5,2022-12-5 11:32am,rec6Lsjtx7SuD4tFY
Missing Persons Information ,,Vetted,Missing Persons Information,Washington State,"1-800-543-5678 ,(360) 486-2414",http://www.waspc.org/missing-persons-information,Website containing relevant information concerning persons reported missing in the State of Washington.,Missing Persons Information,programs@waspc.org,Missing Persons Information Center,4,2022-12-5 1:50pm,reckSmWRNzxnMO7XV
Mount Vernon VA Clinic,,Vetted,Mount Vernon VA Clinic,Washington State,(360) 848-8500,http://www.pugetsound.va.gov/docs/Mount_Vernon_CBOC_Handout.pdf,"Outpatient clinic offering primary care and specialty health services for Veterans, including mental health care, dentistry, laboratory services, social work, women's care, and more.","VA Advice Nurse,VA Audiology and Speech,VA Mental Health Care,""VA Nutrition, Food, and Dietary Care"",VA Primary Care,VA Social Work,VA Women Veteran Care",,Mount Vernon VA Clinic,5,2022-12-6 3:31pm,rec4P8DG50o5bM6fu
Northwest Access Fund,NWAF,Vetted,NWAF,Washington State,(206) 328-5116,https://www.nwaccessfund.org,"Offers people with disabilities customized loans, financial coaching, and other resources to promote access to assistive technology, independence, financial resilience, and life opportunities.","NWAF Assistive Technology Loans,NWAF Financial Coaching",info@nwaccessfund.org,,5,2022-12-7 10:10am,recat4SzKhw660PQg
Northwest Clean Air Agency ,,Vetted,NW Clean Air Agency,Washington State,,https://nwcleanairwa.gov,"The primary government agency responsible for protecting the air in Island, Skagit and Whatcom counties.",Columbia Valley Woodstove Change-Out Program,,Northwest Clean Air Agency,4,2022-12-5 2:53pm,recD2jp8VcdUbPkDv
Northwest Immigrant Rights Project,,Vetted,NWIRC,Washington State,"(206) 587-4009,1-800-445-5771",http://www.nwirp.org,"Promotes justice by defending and advancing the rights of immigrants through direct legal services, systemic advocacy, and community education.","Know Your Rights Presentations,Immigration 101 Training for Service Providers,Violence Against Women Act (VAWA) Unit,Asylum Unit - NWIRP,Family Services Unit - NWIRP,Children and Youth  - NWIRP,Citizenship - NWIRP,DACA General Information & Resources,Detention and Deportation Defense - NWIRP",,Northwest Immigrant Rights Project - Seattle Office,5,2022-12-5 4:36pm,reccmwfme3CC4UeVQ
Parent Trust for Washington Children,,Vetted,"Parent Trust for WA Children,Parent Trust re-vet",Washington State,1-800-932-HOPE (4673),https://www.parenttrust.org,"A statewide resources that equips parents and caregivers to raise safe, healthy and strong children.",Family Help Line,information@parenttrust.org,,5,2022-9-27 1:51pm,rec4VEGc8in2PdRID
PAVE,Partnerships for Action Voices for Empowerment,Vetted,"PAVE,PAVE re-vet",Washington State,"(253) 565-2266,1-800-5-PARENT (727368)",https://wapave.org,"Provides support, training, information and resources to empower and give voice to individuals, youth and families impacted by disabilities. ",PAVE,pave@wapave.org,,5,2022-9-21 5:35pm,recmA2p3m5tggtFwu
Program for Early Parent Support ,PEPS,Vetted,PEPS,Washington State,(206) 547-8570,https://www.peps.org/,"A nonprofit organization that helps parents connect and grow as they begin their journey into parenthood. Parent support programs educate, inform and create community.","PEPS Newborn Program,Second Time Around Program,Baby Peppers Program,Parents of Adolescents and Teens Program,PEPS LGBTQIA+ Program,Little Wonders Program,PEPS Single Parents Program,PEPS Working Moms Program,Connecting the Expecting Program",PEPS@peps.org,,,2023-1-17 12:45pm,recs1KwHk3vYxEAym
Seattle Children's,,Vetted,"Seattle Children's,Seattle Children's re-vet",Washington State,(866) 987-2000,,"Regional children's hospital providing superior patient care, advancing new discoveries and treatments through pediatric research, and serving as the pediatric and adolescent academic medical center for Washington, Alaska, Montana and Idaho – the largest region of any children’s hospital in the country.",Washington’s Mental Health Referral Service for Children and Teens,,,5,2022-9-29 12:55pm,recsYNxDLV8C5soRH
University of Washington (UW),UW,Vetted,UW,Washington State,(206) 543-9198,http://www.washington.edu/,"A multi-campus university in Seattle, Tacoma and Bothell, as well as a world-class academic medical center.",Dental Education in the Care of Persons with Disabilities (DECOD),help@uw.edu,,5,2022-12-1 5:00pm,recLEEtTCt8F6jJ8E
Victim Support Services,,Vetted,Victim Support Services ,Washington State,(425) 252-6081,victimsupportservices.org/,"Criminal justice system advocacy, resources, referrals, educational and support groups for victims of crime and their families. Services are free of charge.  Serve victims of Adult Missing Persons,  Arson, Assault, Burglary, Elder Abuse, Fraud, Gang Violence, Hate Crimes, Homicide, Human Trafficking, Identity Theft, Robbery, Vehicular Assault, and Vehicular Homicide.",Victim Support Services,,,4,2022-12-6 4:05pm,recLnz3vpQRSvVYD6
Washington 211,,Vetted,Washington 211,Washington State,211,https://wa211.org,Dial 2-1-1 from anywhere in Washington State to get connected to local services.,Washington 211,,,5,2022-11-23 11:16am,rec6SDSJgOGxaoA4S
Washington Area Al-Anon Family Group,,Vetted,"Al-Anon,Al-Anon re-vet",Washington State,,http://www.wa-al-anon.org/,A fellowship of people that come together for help because a loved one’s drinking is affecting them. ,"Al-Anon,Alateen",,,5,2022-10-13 12:30pm,recocuEBU3GuUlF3Y
Washington Autism Alliance,,Vetted,"Washington Autism Alliance,WAA re-vet",Washington State,"(425) 894-7231,(425) 836-6512",washingtonautismalliance.org/,"Expands access to healthcare, education and services for people with autism spectrum disorders and related intellectual and developmental disabilities in Washington State.","Advocacy and Legal Services - WA Autism Alliance ,Supporting Parents of Autism,Training Workshops - WA Autism Alliance,Washington Autism Alliance Resource Directory",office@washingtonautismadvocacy.org,Washington Autism Alliance,4,2022-9-21 11:45am,recF3EsD8udj7kQ3S
Washington Homeownership Resource Center,,Vetted,WHRC,Washington State,1-877-894-4663,http://www.homeownership-wa.org/,"Personalized information and referral to vetted homeownership supports, including: homebuyer assistance programs, pre-purchase education and counseling, mortgage and property tax foreclosure intervention counseling, reverse mortgage counseling, owner-occupied repair assistance, other post-purchase education and assistance, legal aid, and credit counseling.","Foreclosure Prevention - WHRC,Homebuyer Support - WHRC,Washington State Homeowner Assistance Fund,Home Repair and Modification Assistance - WHRC",,,5,2022-12-7 10:45am,rec37jxHOyxBUdKZ9
Washington Landlord Association,,Vetted,WA Landlord Association,Washington State,(425) 353-6929,https://walandlord.org,"Committed to protecting landlords' property rights and their ability to 
manage their rentals.",Washington Landlord Association,everett@walandlord.com,Washington Landlord Association Everett Office,4,2022-12-7 11:01am,recHRoQPhiIDHj0Ry
Washington Poison Center,,Vetted,WA Poison Center,Washington State,1-800-222-1222 ,http://www.wapc.org/,"Provides immediate, free, and expert treatment advice and assistance on the telephone in case of exposure to poisonous, hazardous, or toxic substances. All calls are confidential.

",Poison Center Hotline,,Washington Poison Center,5,2022-12-7 11:07am,recSVX6PiM1NIFu8g
Washington State Coalition Against Domestic Violence,WSCADV,Vetted,WSCADV,Washington State,(206) 389-2515,http://www.wscadv.org/,A non-profit network of domestic violence programs working together to end domestic violence through advocacy and action for social change.,Directory of Washington Domestic Violence Programs,wscadv@wscadv.org,Washington State Coalition Against Domestic Violence,4,2022-12-7 4:29pm,recenC7IXW7cbtlBC
Washington State Department of Commerce,,Vetted,WA Dept. of Commerce,Washington State,(206) 256-6100,https://www.commerce.wa.gov,"State government agency focused on all aspects of community and economic development including planning, infrastructure, energy, public facilities, housing, public safety and crime victims, international trade, business services and more. ",Office of Manufactured/Mobile Home Relocation Assistance ,,,5,2022-12-6 2:33pm,recT3q0mRwlJEAMJk
Washington State Department of Health,DOH,Vetted,WA DOH,Washington State,(360) 236-4501,https://doh.wa.gov,Statewide health department working to protect and improve the health of all people in Washington state.,Safe Medication Return,,,5,2023-2-27 10:27am,recUL3ZWWPe9Aa2gn
Washington State Department of Labor and Industries (L&I),L&I,Vetted,L&I,Washington State,(360) 647-7300,http://www.lni.wa.gov/,"A state agency dedicated to the safety, health, and security of Washington workers. Helps employers meet safety and health standards, inspects workplaces when alerted to hazards, and administers the state's workers' compensation system","L&I Workers' Compensation ,L&I Workers' Rights",,Department of Labor and Industries,5,2022-12-1 5:32pm,recEzPeS7xAX8un2Y
Washington State Department of Licensing,,Vetted,WA DOL,Washington State,(360) 676-2096,http://www.dol.wa.gov/,"Helping every Washington resident live, work, drive, and thrive.",Washington State Department of Licensing,,Washington State Department of Licensing Bellingham,5,2022-12-7 4:57pm,reckgZyGEaaXIPygl
Washington State Hands and Voices,,Vetted,"WA Hands and Voices,WA Hands and Voices re-vet",Washington State,(425) 268-7087,https://wahandsandvoices.org,"A parent-driven, non-profit organization, providing families with resources, networks, and information needed to improve communication and educational outcomes for their children who are deaf or hard of hearing.","Guide By Your Side,WA Hands and Voices Family Toolkit",info@wahandsandvoices.org,,5,2022-9-21 5:20pm,recA7nuuKHUpWxoM6
Washington State Patrol,,Vetted,WSP,Washington State,(360) 596-4000,https://www.wsp.wa.gov,Law enforcement agency serving Washington State.,Missing & Unidentified Persons Unit,,,5,2022-12-5 1:59pm,reckE6U10rWNaMW0P
Washington Talking Book and Braille Library,,Vetted,Washington Talking Book and Braille Library,Washington State,"(206) 615-0400,1-800-542-0866",http://www.wtbbl.org/,Builds community and provides equitable access to information and reading materials for Washington residents unable to read standard print.,Washington Talking Book and Braille Library,,Washington Talking Book and Braille Library,5,2022-12-7 5:22pm,recBxBEiZgBVEpehK
Washington Women In Need,WWIN,Vetted,WWIN,Washington State,(425) 451-8838,http://www.wwin.org/,Empowers women in Washington State to achieve economic stability through higher education and living wage careers.,"WWIN Star Scholars,Women's Empowerment Conference",,,5,2022-12-7 5:32pm,rec5p45tCzeqJpNLm
988 Suicide and Crisis Lifeline,National Suicide Prevention Lifeline ,Vetted,"988 Suicide Crisis Lifeline,988 re-vet",National,"988,1 (888) 628-9454",988lifeline.org/,"A national network of local crisis centers that provides free and confidential emotional support to people in suicidal crisis or emotional distress 24 hours a day, 7 days a week in the United States.",988 Suicide and Crisis Lifeline,,,5,2022-9-20 7:10pm,reco8WndMJBpuIiNk
Affordable Connectivity Program (ACP),Emergency Broadband Benefit,Vetted,ACP,National,,https://www.affordableconnectivity.gov,A U.S. government program to help low-income households pay for internet service and connected devices like a laptop or tablet.,Affordable Connectivity Program (ACP),,,5,2022-12-13 4:48pm,reclmt9jmFxp83pFI
Clearpoint Credit Counseling Solutions ,,Vetted,Clearpoint ,National,(800) 750-2227,https://www.clearpoint.org,A nonprofit agency focused on improving lives through financial education.,"Budget and Credit Counseling - Clearpoint,Debt Management Program (DMP) - Clearpoint,Housing Programs - Clearpoint,Bankruptcy Counseling and Education - Clearpoint,Student Loan Counseling - Clearpoint,Military Reconnect - Clearpoint ",,ClearPoint Credit Counseling Solutions,5,2022-12-8 12:19pm,reca1Y6zCKiuQjnJt
CostPlus Drug Company ,,Vetted,CostPlus Drug Company,National, 1-833-926-3384,www.costplusdrugs.com/,Web-based prescription drug company offering generic brand prescription medications at low cost.,CostPlus Drug Company,,,5,2022-12-6 4:32pm,recxVnSgI5QzXykMT
Dawson Place Child Advocacy Center,,Vetted,"Dawson Place,Dawson Place re-vet",National,(425) 789-3000,dawsonplace.org,"A safe place where abused kids and non-offending family members can cone for safety, justice, and healing. ","On-going Therapy - Dawson Place,Mental Health Assessments - Dawson Place,Investigation and Prosecution Services - Dawson Place,Medical Examinations - Dawson Place,Child Forensic Interviews - Dawson Place,Victim Advocacy and Support - Dawson Place",,,4,2022-9-27 3:45pm,recNttEZSUUd9guCS
DentistLink,,Vetted,"DentistLink,DentistLink re-vet",National,(844) 888-5465,https://dentistlink.org,"A free non-profit referral service connecting everyone to dental care. DentistLink can help find the right dental care for you, whether you are uninsured or insured, including help with transportation to a dental appointment, help with interpretation services, and more.
",DentistLink,,,5,2022-9-20 10:22am,recgz1uJl3BtYySrv
InfantSEE,,Vetted,"InfantSEE,InfantSEE re-vet",National,,https://www.infantsee.org/?sso=y,"A public health program designed to ensure that eye and vision care becomes an integral part of infant wellness care to improve a child's quality of life. Under this program, no-cost comprehensive eye and vision assessments are available for infants 6-12 months old regardless of a family's income or access to insurance coverage.

",InfantSEE Assessment,infantsee@aoa.org  ,,5,2022-9-21 5:50pm,recYkqeMF8h05iwA1
Internet Essentials from Comcast,,Vetted,Internet Essentials,National,1-855-8-INTERNET (1-855-846-8376),https://internetessentials.com,"Provides affordable home Internet for qualifying households as well as low-cost computers, free WiFi hotspots, and free Internet training. Sign up for Internet Essentials for only $9.95/month with no annual contract and free equipment, then enroll in the Affordable Connectivity Program (ACP) to get your service for free.",Internet Essentials from Comcast,,,5,2022-12-13 4:59pm,recPX8q6B7HmPidQ2
LGBT National Help Center,,Vetted,"LGBT National Help Center,LGBT NHC re-vet",National,1-888-843-4564,https://www.lgbthotline.org/,"Offers support to those seeking affirmation and acceptance, questions or concerns on sexuality and gender identity, resources and information.","Trans Teen Online Chat Room ,LGBT Teen Online Chat Room,​LGBT National ​Online Peer-Support Chat,LGBT National Senior Hotline,LGBT National Youth Talkline,LGBT National Hotline,LGBT National Coming Out Support Hotline",help@LGBThotline.org,,5,2022-10-4 6:01pm,rec3Z4JmNoxJLla35
Lifeline,,Vetted,Lifeline,National,,https://www.lifelinesupport.org,"A federal program dedicated to making phone and internet service more affordable for low-income households. This benefit provides eligible consumers with a monthly discount of up to $9.25, or up to $34.25 per month for households living on on qualifying Tribal land. ",Lifeline,,,5,2022-12-13 5:09pm,reckxuYSPgJ8d2Dob
Medicare,,Vetted,Medicare,National,1-800-MEDICARE (633-4227),https://www.medicare.gov,"Federal health insurance for anyone age 65 and older, and some people under 65 with certain disabilities or conditions.","Medicare Part A (Hospital Insurance),Medicare Part B (Medical Insurance),Medicare Part D (Drug Coverage),Medicare Advantage (Part C)",,,5,2022-12-12 2:35pm,recksSeyysgLoKxve
Nathaniel's Hope,,Vetted,"Nathaniel's Hope,Nathaniel's Hope re-vet",National,(360) 398-1442 ext. 14,https://nathanielshope.org,Educates and equips communities and churches to provide free respite care and programs to enrich the lives of families with children with special needs.,Buddy Break,,Northside Community Church,5,2022-9-26 2:37pm,recFVFghCr15dhzxq
National Alliance for Children’s Grief,NACG,Vetted,"NAGC,NAGC re-vet",National,(866) 432-1542,https://nacg.org,"A nonprofit organization that raises awareness about the needs of children and teens who are grieving a death, and provides education and resources for anyone who supports them. ","Grief Support Resource Library,Grief Support Center Search Tool",info@childrengrieve.org,,5,2022-9-27 4:19pm,recEr5MiqW8WOWmzb
National Call Center for Homeless Veterans ,,Vetted,National Call Center for Homeless Veterans,National,1-877-424-3838,http://www.va.gov/homeless/nationalcallcenter.asp,"Veterans who are homeless or at risk of homelessness—and their family members, friends and supporters—can make the call to or chat online with the National Call Center for Homeless Veterans, where trained counselors are ready to talk confidentially 24 hours a day, 7 days a week.",National Call Center for Homeless Veterans,,,5,2022-12-8 4:32pm,recqXrejNkoI0nAQP
National Domestic Violence Hotline ,,Vetted,National Domestic Violence Hotline,National,1-800-799-SAFE (7233),http://www.thehotline.org/,"Free, confidential, and compassionate support, crisis intervention information, education, and referral services in over 200 languages available 24 hours a day, 7 days a week, 365 days a year.
",National Domestic Violence Hotline,,,5,2022-12-8 4:37pm,rec6CKirbFkG7aY53
National Runaway Safeline,,Vetted,National Runaway Safeline,National,1-800-RUN-AWAY (786-2929),https://www.1800runaway.org,"Responds to youth and families in crisis, serving as the national communications system for runaway and homeless youth. ","Home Free,1-800-Runaway Hotline",,,5,2022-12-8 2:34pm,recAK8utBu7xIsKEP
National Sexual Assault Hotline ,,Vetted,National Sexual Assault Hotline ,National,1-800-656-HOPE (4673),https://www.rainn.org,"Call to access a range of free services including confidential support from a trained staff member, support finding a local health facility with services like sexual assault forensic exams, someone to help you talk through what happened, local resources that can assist with your next steps toward healing and recovery, referrals for long term support in your area, information about the laws in your community, and basic information about medical concerns.",National Sexual Assault Hotline,,,5,2022-12-8 4:48pm,recwY866HDSwCsxeO
